URL,Total External Links,Total Internal Links,Total Appearence on Other Page
https://www.kompas.com/food/tips-kuliner,245,95,12
https://www.kompas.com/tag/efisiensi-anggaran?source=trending,251,50,1
https://www.kompas.com/cekfakta/read/2025/02/14/131600582/infografik--hoaks-meninggalnya-aktor-stefan-william-simak-bantahannya,262,114,1
https://www.kompas.com/cekfakta/read/2024/12/13/132600382/mohammad-ahsan-pensiun-menutup-kisah-the-daddies-di-bulu-tangkis-,263,122,1
http://www.kompas.com/global/read/2025/01/06/215716170/ikan-tuna-segemuk-sapi-di-jepang-laku-rp-21-miliar,293,93,1
https://www.kompas.com/konsultasihukum/author/2990/,0,0,1
https://www.kompas.com/tren?source=navbar,253,123,18
https://www.kompas.com/edu,244,70,12
https://www.kompas.com/tag/banjir-makassar?source=trending,258,43,1
https://www.kompas.com/properti/read/2025/02/16/140000821/puluhan-juta-hektar-lahan-di-indonesia-masih-tumpang-tindih,269,118,1
https://www.kompas.com/cekfakta/read/2025/02/14/142100882/infografik--foto-bersama-trump-netanyahu-dan-elon-musk-adalah-hasil,262,119,1
https://www.kompas.com/cekfakta/read/2025/02/13/174200382/-hoaks-tautan-pendaftaran-kartu-peserta-jkn-gratis,264,110,1
https://www.kompas.com/cekfakta/read/2025/02/13/163600482/-hoaks-larangan-makan-ikan-tongkol,266,115,1
https://www.kompas.com/global/read/2025/02/15/142603370/usai-kebakaran-hutan-los-angeles-dilanda-tanah-longsor,295,89,2
https://www.kompas.com/cekfakta/read/2025/02/03/084900982/pesawat-medis-jatuh-di-philadelphia-berikut-kronologi-dan-informasi-7,263,119,1
http://www.kompas.com/jawa-timur/read/2025/02/12/070700488/kisah-masyarakat-adat-melarikan-diri-dari-pulau-yang-tenggelam-di,272,122,1
http://www.kompas.com/global/read/2024/12/22/135000370/ritual-pukul-pantat-perempuan-di-borkum-jerman-disetop-usai-videonya,290,96,1
https://www.kompas.com/konsultasihukum/database-peraturan,0,0,1
https://www.kompas.com/motogp,249,77,19
https://www.kompas.com/global/read/2025/02/16/123453570/18-tewas-karena-berebut-naik-kereta-menuju-festival-keagamaan-di-india,295,93,1
https://www.kompas.com/cekfakta/read/2025/02/14/095100082/-hoaks-bahaya-makan-ikan-mas,268,110,1
https://www.kompas.com/cekfakta/read/2025/02/13/184800282/-hoaks-king-nassar-meninggal-karena-serangan-jantung-pada-februari-2025,264,111,1
http://www.kompas.com/jawa-timur/read/2025/02/11/070800288/anggaran-pendidikan-dipangkas-rp-8-triliun-bagaimana-nasib-guru,269,124,1
http://www.kompas.com/global/read/2025/01/14/213300770/pemulihan-los-angeles-dari-kebakaran-butuh-miliaran-dollar-as,289,98,1
https://www.kompas.com/konsultasihukum/konsultasi,236,139,1
https://www.kompas.com/konsultasihukum/analisis,236,137,1
https://www.kompas.com/konsultasihukum/author/5764/,0,0,1
https://www.kompas.com/properti,239,84,12
https://www.kompas.com/cekfakta/sejarah-dan-fakta,238,64,2
https://www.kompas.com/global/read/2025/02/16/060700770/-unik-global-monyet-disalahkan-atas-pemadaman-listrik-kucing-masuk-ke,298,97,2
https://www.kompas.com/tren/read/2025/02/16/140000565/warganet-klaim-punya-kulit-lebih-bagus-sejak-tinggal-di-luar-negeri-apa,264,126,1
https://www.kompas.com/konsultasihukum/author/6068/,0,0,1
http://www.kompas.com/konsultasihukum/read/2025/02/12/115016980/kesalahan-hitung-putusan-pengadilan-pajak,266,118,2
https://www.kompas.com/konsultasihukum,236,143,42
https://www.kompas.com/food?source=navbar,258,131,13
https://www.kompas.com/food/tempat-makan,245,95,12
https://www.kompas.com/homey?source=navbar,249,102,11
https://www.kompas.com/tag/nisfu-syaban?source=trending,239,61,1
https://www.kompas.com/tren/read/2025/02/16/123000565/kronologi-penerbitan-surat-izin-palsu-pagar-laut-tangerang-yang-melibatkan?source=terpopuler,263,126,1
https://www.kompas.com/cekfakta/hoaks-atau-fakta,238,64,2
https://www.kompas.com/global/read/2025/02/16/100235870/fenomena-langka-ikan-dari-laut-dalam-tertangkap-kamera-dengan-jelas-di,295,96,2
https://www.kompas.com/global/read/2025/02/15/153650670/wakil-komandan-misi-pbb-terluka-setelah-konvoinya-diserang-di-beirut,293,86,2
https://www.kompas.com/tren/read/2025/02/16/093228865/kabur-aja-dulu-nyanyian-perpisahan-generasi-yang-hilang,267,118,1
http://www.kompas.com/global/read/2025/01/02/130716170/bali-nine-bebas-tiba-di-australia-disambut-keluarga-masing-masing,291,97,1
https://www.kompas.com,353,78,124
https://www.kompas.com/food/resep,245,95,12
https://www.kompas.com/tag/makan-bergizi-gratis?source=trending,254,47,1
https://www.kompas.com/cekfakta/read/2025/02/14/153000882/-hoaks-ole-romeny-cetak-gol-saat-debut-bersama-oxford-united,264,110,2
https://www.kompas.com/properti/read/2025/02/16/110000221/satu-dekade-terakhir-12-juta-hektar-tanah-masyarakat-adat-dirampas?source=sorotan,268,122,1
https://www.kompas.com/cekfakta/read/2025/02/06/084000482/australia-dan-sejumlah-negara-melarang-penggunaan-deepseek-di-piranti,264,118,1
https://www.kompas.com/konsultasihukum/author/4107/,0,0,1
https://www.kompas.com/cekfakta,238,65,43
https://www.kompas.com/food/food-news,245,95,12
https://www.kompas.com/tag/harvey-moeis?source=trending,247,54,1
https://www.kompas.com/global/read/2025/02/15/171047570/hampir-10000-orang-dipecat-trump-dan-musk-dari-lembaga-lembaga-pemerintah,296,91,2
https://www.kompas.com/konsultasihukum/konsultasi-analisis,236,139,1
https://www.kompas.com/topik-pilihan/list/7782/kalbe-health-corner,257,41,45
https://www.kompas.com/hype,247,125,39
http://www.kompas.com/jawa-timur/read/2025/02/11/075700688/efisiensi-anggaran-pegawai-negeri-kerja-tanpa-lampu-hingga-cemas-tak,274,121,1
http://www.kompas.com/konsultasihukum/read/2025/02/13/145747680/advokat-dalam-menjaga-marwah-pengadilan,267,117,2
https://www.kompas.com/formkonsultasi/?topic=Konsultasi Hukum,0,0,1
https://www.kompas.com/global,257,76,47
https://www.kompas.com/tag/coretax?source=trending,255,46,1
https://www.kompas.com/cekfakta/read/2025/02/14/121100382/waspadai-clickbait-berkedok-unggahan-larangan-makan-ikan,260,118,1
https://www.kompas.com/cekfakta/read/2024/12/18/110100482/ketika-twenty-one-pilots-pecahkan-rekor-video-musik-terlama-,267,111,1
http://www.kompas.com/tren/read/2025/01/06/140000265/australia-ancam-10-tahun-penjara-perusahaan-yang-beri-gaji-di-bawah-umr,265,121,1
https://www.kompas.com/hype/read/2025/02/16/133728566/selamat-mahalini-melahirkan-anak-pertama,264,114,1
http://www.kompas.com/konsultasihukum/read/2024/12/23/090000980/saatnya-imunitas-advokat-bagi-konselor-internal-perusahaan,266,119,2
