URL,Total External Links,Total Internal Links,Total Appearence on Other Page
https://www.kompas.com/motogp,249,80,3
https://www.kompas.com/sports,250,97,3
https://www.kompas.com/tren?source=navbar,251,128,2
https://www.kompas.com/food?source=navbar,258,134,2
https://www.kompas.com/food/panduan-kuliner-yogyakarta,237,100,1
https://www.kompas.com/#google_vignette,353,87,31
https://www.kompas.com/topik-pilihan/list/7782/kalbe-health-corner,257,44,9
https://www.kompas.com/badminton,249,80,3
https://www.kompas.com/edu,244,73,1
https://www.kompas.com/sains?source=navbar,236,124,1
https://www.kompas.com/konsultasihukum,236,146,8
https://www.kompas.com/food/tips-kuliner,245,98,2
https://www.kompas.com/food/tempat-makan,245,98,2
https://www.kompas.com/food/gallery,245,77,2
https://www.kompas.com/parapuan?source=navbar,243,134,1
https://www.kompas.com/homey?source=navbar,249,105,1
https://www.kompas.com/global,258,78,9
https://www.kompas.com/cekfakta,238,67,8
https://www.kompas.com/food/resep,245,98,2
https://www.kompas.com/food/food-news,245,98,2
https://www.kompas.com/food/food-story,245,98,2
https://www.kompas.com/skola,244,73,1
https://www.kompas.com/feedback,232,39,9
https://www.kompas.com/hype,247,128,7
https://www.kompas.com/properti,239,89,2
